instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,time_category
1,2011-01-01,Spring,2011,1,0,0,6,0,Clear/Partly Cloudy,0.24,0.2879,0.81,0.0,3,13,16,Non-Rush Hour
2,2011-01-01,Spring,2011,1,1,0,6,0,Clear/Partly Cloudy,0.22,0.2727,0.8,0.0,8,32,40,Non-Rush Hour
3,2011-01-01,Spring,2011,1,2,0,6,0,Clear/Partly Cloudy,0.22,0.2727,0.8,0.0,5,27,32,Non-Rush Hour
4,2011-01-01,Spring,2011,1,3,0,6,0,Clear/Partly Cloudy,0.24,0.2879,0.75,0.0,3,10,13,Non-Rush Hour
5,2011-01-01,Spring,2011,1,4,0,6,0,Clear/Partly Cloudy,0.24,0.2879,0.75,0.0,0,1,1,Non-Rush Hour
6,2011-01-01,Spring,2011,1,5,0,6,0,Misty/Cloudy,0.24,0.2576,0.75,0.0896,0,1,1,Non-Rush Hour
7,2011-01-01,Spring,2011,1,6,0,6,0,Clear/Partly Cloudy,0.22,0.2727,0.8,0.0,2,0,2,Morning Rush Hour
8,2011-01-01,Spring,2011,1,7,0,6,0,Clear/Partly Cloudy,0.2,0.2576,0.86,0.0,1,2,3,Morning Rush Hour
9,2011-01-01,Spring,2011,1,8,0,6,0,Clear/Partly Cloudy,0.24,0.2879,0.75,0.0,1,7,8,Morning Rush Hour
10,2011-01-01,Spring,2011,1,9,0,6,0,Clear/Partly Cloudy,0.32,0.3485,0.76,0.0,8,6,14,Morning Rush Hour
11,2011-01-01,Spring,2011,1,10,0,6,0,Clear/Partly Cloudy,0.38,0.3939,0.76,0.2537,12,24,36,Non-Rush Hour
12,2011-01-01,Spring,2011,1,11,0,6,0,Clear/Partly Cloudy,0.36,0.3333,0.81,0.2836,26,30,56,Non-Rush Hour
13,2011-01-01,Spring,2011,1,12,0,6,0,Clear/Partly Cloudy,0.42,0.4242,0.77,0.2836,29,55,84,Non-Rush Hour
14,2011-01-01,Spring,2011,1,13,0,6,0,Misty/Cloudy,0.46,0.4545,0.72,0.2985,47,47,94,Non-Rush Hour
15,2011-01-01,Spring,2011,1,14,0,6,0,Misty/Cloudy,0.46,0.4545,0.72,0.2836,35,71,106,Non-Rush Hour
16,2011-01-01,Spring,2011,1,15,0,6,0,Misty/Cloudy,0.44,0.4394,0.77,0.2985,40,70,110,Non-Rush Hour
17,2011-01-01,Spring,2011,1,16,0,6,0,Misty/Cloudy,0.42,0.4242,0.82,0.2985,41,52,93,Evening Rush Hour
18,2011-01-01,Spring,2011,1,17,0,6,0,Misty/Cloudy,0.44,0.4394,0.82,0.2836,15,52,67,Evening Rush Hour
19,2011-01-01,Spring,2011,1,18,0,6,0,Light Snow/Rain,0.42,0.4242,0.88,0.2537,9,26,35,Evening Rush Hour
20,2011-01-01,Spring,2011,1,19,0,6,0,Light Snow/Rain,0.42,0.4242,0.88,0.2537,6,31,37,Evening Rush Hour
21,2011-01-01,Spring,2011,1,20,0,6,0,Misty/Cloudy,0.4,0.4091,0.87,0.2537,11,25,36,Non-Rush Hour
22,2011-01-01,Spring,2011,1,21,0,6,0,Misty/Cloudy,0.4,0.4091,0.87,0.194,3,31,34,Non-Rush Hour
23,2011-01-01,Spring,2011,1,22,0,6,0,Misty/Cloudy,0.4,0.4091,0.94,0.2239,11,17,28,Non-Rush Hour
24,2011-01-01,Spring,2011,1,23,0,6,0,Misty/Cloudy,0.46,0.4545,0.88,0.2985,15,24,39,Non-Rush Hour
25,2011-01-02,Spring,2011,1,0,0,0,0,Misty/Cloudy,0.46,0.4545,0.88,0.2985,4,13,17,Non-Rush Hour
26,2011-01-02,Spring,2011,1,1,0,0,0,Misty/Cloudy,0.44,0.4394,0.94,0.2537,1,16,17,Non-Rush Hour
27,2011-01-02,Spring,2011,1,2,0,0,0,Misty/Cloudy,0.42,0.4242,1.0,0.2836,1,8,9,Non-Rush Hour
28,2011-01-02,Spring,2011,1,3,0,0,0,Misty/Cloudy,0.46,0.4545,0.94,0.194,2,4,6,Non-Rush Hour
29,2011-01-02,Spring,2011,1,4,0,0,0,Misty/Cloudy,0.46,0.4545,0.94,0.194,2,1,3,Non-Rush Hour
30,2011-01-02,Spring,2011,1,6,0,0,0,Light Snow/Rain,0.42,0.4242,0.77,0.2985,0,2,2,Morning Rush Hour
31,2011-01-02,Spring,2011,1,7,0,0,0,Misty/Cloudy,0.4,0.4091,0.76,0.194,0,1,1,Morning Rush Hour
